Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2009,,,,
by Region/Country of Birth and Selected Characteristics,,,,
,,,,
Region/Country: Mexico,,,,
,,,,
Characteristic,Total,Male,Female,Unknown
Total,"164,920","69,581","95,338",1
,,,,
New arrivals,"74,948","31,136","43,812",-
Adjustments of status,"89,972","38,445","51,526",1
,,,,
Age,,,,
Under 18 years,"34,137","17,640","16,497",-
18 to 24 years,"27,691","13,219","14,472",-
25 to 34 years,"36,736","17,109","19,627",-
35 to 44 years,"29,239","9,897","19,342",-
45 to 54 years,"15,563","4,193","11,369",1
55 to 64 years,"11,573","3,461","8,112",-
65 years and over,"9,981","4,062","5,919",-
Unknown,-,-,-,-
,,,,
Marital status,,,,
Single,"58,269","29,717","28,552",-
Married,"99,665","38,504","61,161",-
Other,"6,409","1,066","5,343",-
Unknown,577,294,282,1
,,,,
Occupation,,,,
"Management, professional, and related occupations","4,223","2,640","1,583",-
Service occupations,"5,414","3,064","2,350",-
Sales and office occupations,"3,071","1,373","1,698",-
"Farming, fishing, and forestry occupations","3,710","3,436",274,-
"Construction, extraction, maintenance and repair occupations","2,608",D,D,-
"Production, transportation, and material moving occupations","15,647","12,694","2,953",-
Military,5,D,D,-
No occupation/not working outside home,"97,702","27,323","70,379",-
Homemakers,"49,440","2,851","46,589",-
Students or children,"39,832","20,245","19,587",-
Retirees,539,321,218,-
Unemployed,"7,891","3,906","3,985",-
Unknown,"32,540","16,475","16,064",1
,,,,
Broad class of admission,,,,
Family-sponsored preferences,"57,177","22,572","34,605",-
Employment-based preferences,"8,660","4,551","4,109",-
Immediate relatives of U.S. citizens,"96,187","40,984","55,203",-
Diversity,12,4,8,-
Refugees and asylees,466,230,236,-
Other,"2,418","1,240","1,177",1
,,,,
Leading states of residence,,,,
Arizona,"9,168","3,769","5,399",-
California,"59,814","24,686","35,127",1
Colorado,"3,433","1,508","1,925",-
Connecticut,276,135,141,-
Florida,"4,407","1,897","2,510",-
Georgia,"3,325","1,454","1,871",-
Illinois,"9,202","3,919","5,283",-
Maryland,604,289,315,-
Michigan,"1,168",531,637,-
Minnesota,869,382,487,-
Nevada,"3,207","1,314","1,893",-
New Jersey,"1,123",542,581,-
New York,"1,858",844,"1,014",-
North Carolina,"2,923","1,215","1,708",-
Ohio,515,236,279,-
Pennsylvania,794,359,435,-
Texas,"38,597","16,070","22,527",-
Virginia,"1,005",447,558,-
Washington,"2,710","1,129","1,581",-
Other,"19,922","8,855","11,067",-
D  Data withheld to limit disclosure.,,,,
- Represents zero.,,,,
Source: U.S. Department of Homeland Security,,,,
