Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2011,,,,
by Region/Country of Birth and Selected Characteristics,,,,
,,,,
Region/Country: Mexico,,,,
,,,,
Characteristic,Total,Male,Female,Unknown
Total,"143,446","61,285","82,160",1
,,,,
New arrivals,"67,796","29,554","38,241",1
Adjustments of status,"75,650","31,731","43,919",-
,,,,
Age,,,,
Under 18 years,"27,610","14,321","13,288",1
18 to 24 years,"24,530","11,672","12,858",-
25 to 34 years,"30,705","14,379","16,326",-
35 to 44 years,"27,972","10,128","17,844",-
45 to 54 years,"15,865","4,857","11,008",-
55 to 64 years,"9,156","2,957","6,199",-
65 years and over,"7,607","2,970","4,637",-
Unknown,1,1,-,-
,,,,
Marital status,,,,
Single,"48,468","24,460","24,007",1
Married,"87,680","35,325","52,355",-
Other,"6,543","1,074","5,469",-
Unknown,755,426,329,-
,,,,
Occupation,,,,
"Management, professional, and related occupations","4,419","2,814","1,605",-
Service occupations,"4,496","2,506","1,990",-
Sales and office occupations,"2,783","1,249","1,534",-
"Farming, fishing, and forestry occupations","2,840","2,630",210,-
"Construction, extraction, maintenance and repair occupations","2,114",D,D,-
"Production, transportation, and material moving occupations","13,305","10,963","2,342",-
Military,4,D,D,-
No occupation/not working outside home,"80,865","24,027","56,837",1
Homemakers,"39,196","2,623","36,573",-
Students or children,"33,426","17,112","16,313",1
Retirees,720,396,324,-
Unemployed,"7,523","3,896","3,627",-
Unknown,"32,620","15,011","17,609",-
,,,,
Broad class of admission,,,,
Family-sponsored preferences,"43,631","17,839","25,791",1
Employment-based preferences,"9,164","4,812","4,352",-
Immediate relatives of U.S. citizens,"84,280","36,004","48,276",-
Diversity,12,5,7,-
Refugees and asylees,605,302,303,-
Other,"5,754","2,323","3,431",-
,,,,
Leading states of residence,,,,
Arizona,"8,347","3,302","5,045",-
California,"49,774","20,581","29,193",-
Colorado,"3,372","1,523","1,848",1
Connecticut,263,137,126,-
Florida,"3,434","1,514","1,920",-
Georgia,"2,763","1,256","1,507",-
Illinois,"7,334","3,334","4,000",-
Maryland,450,208,242,-
Michigan,"1,113",509,604,-
Minnesota,779,393,386,-
Nevada,"2,444","1,046","1,398",-
New Jersey,861,390,471,-
New York,"1,784",813,971,-
North Carolina,"1,996",873,"1,123",-
Ohio,558,282,276,-
Pennsylvania,838,377,461,-
Texas,"36,648","15,472","21,176",-
Virginia,802,384,418,-
Washington,"2,446","1,045","1,401",-
Other,"17,440","7,846","9,594",-
D  Data withheld to limit disclosure.,,,,
- Represents zero.,,,,
Source: U.S. Department of Homeland Security,,,,
